Grave,Individual,Level,Orientation,Type,Sex,Age,Position,Pottery types,Other objects,Spatial context
183,B,"1,2",nw.,simple inhumation,female,adult,disturbed;extended on back,"6a, 12c",,ubaid period cemetery.
184,A,1,nw.,shaft cut into an older libn box,,child,body on back;face westward;legs flexed,"5a, 13e",,ubaid period cemetery.
185,A,1,nw.,libn box,,adolescent,skeleton of a 'youth';extended on back,,the complete skeleton of a dog was laid on its left side across the human skeleton with its head to the south separated by a thin layer of earth,ubaid period cemetery.
186,A,"1,1",nw.,libn box,female,adult,extended on back;face upward;hands near pelvis,4b,frit beads near pelvis,ubaid period cemetery.
186,B,"1,1",nw.,libn box,male,adult,disturbed when the second corpse interred,"12b, 5c",,ubaid period cemetery.
187,A,"1,35",,libn box?,,,no skeletal remains,,,ubaid period cemetery.
188,A,"1,4",nw.,sealed libn box,,,body laid on back;face upward;legs missing,"5a, 13e, 12c",,ubaid period cemetery.
189,A,1,nw.,libn box,,adult,extended on back;hand extended,"5a, 13e, 12c",fragments of a large pottery bowl found laid on the chest chest of which skeleton not recorded,ubaid period cemetery.
189,B,1,,libn box,,adult,adult? skull near the left shoulder,,see above,ubaid period cemetery.
190,A,0,,,,,,,,ubaid period cemetery.
191,A,"1,5",nw.,libn box,,infant,body on back,,,ubaid period cemetery.
192,A,"1,8",nw.,libn box,,adult,extended on back;right arm bent on body;left arm straight;face eastward,,,ubaid period cemetery.
193,A,"1,3",nw.,libn box,,adult,extended on back;face upward;arms straight,"5c, 1b, 13c, 13a",,ubaid period cemetery.
